Type,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,AdoptionSpeed,ColorName_x,ColorName_y,ColorName,BreedName_x,BreedName_y,StateName_x
1,36,1.0,0.0,3,1,1,1,1,1,0,41326,0,2,3,6,1,2,68,72,0
2,3,2.0,2.0,2,2,1,2,1,1,50,41326,0,4,3,6,8,3,74,9,0
2,2,3.0,1.0,1,2,2,2,1,2,0,41326,4,5,2,6,5,4,93,110,0
2,2,1.0,1.0,2,2,1,2,1,1,50,41326,0,5,1,6,7,3,62,74,0
2,4,2.0,2.0,2,2,1,1,1,1,50,41401,0,10,3,6,5,3,78,74,1
1,4,2.0,2.0,1,1,1,2,1,1,0,41330,0,3,3,6,5,3,51,81,4
1,1,1.0,2.0,2,1,1,2,1,1,0,41326,0,2,1,5,1,3,51,51,0
2,2,2.0,1.0,2,2,2,2,1,1,100,41326,0,2,4,5,1,3,78,74,0
1,2,3.0,2.0,2,2,1,2,1,5,0,41401,0,6,4,6,1,3,51,51,1
1,4,2.0,2.0,1,2,1,2,1,1,0,41326,0,5,1,6,5,3,83,41,0
2,0,1.0,2.0,2,1,1,1,1,1,10,41336,0,0,4,6,7,3,121,4,3
2,5,3.0,1.0,1,1,1,2,1,4,0,41326,0,4,1,1,7,3,74,110,0
2,2,2.0,2.0,1,2,2,2,1,1,0,41326,0,5,2,5,7,3,74,110,0
2,120,2.0,3.0,3,3,3,3,1,2,50,41401,0,1,4,6,5,3,45,110,1
2,12,1.0,2.0,1,3,3,3,1,1,0,41326,0,1,2,1,7,3,110,74,0
1,3,2.0,0.0,2,1,1,2,1,1,0,41326,0,19,1,6,4,2,51,85,0
2,12,1.0,2.0,2,1,2,2,1,2,0,41401,0,1,0,6,5,1,74,74,1
2,2,3.0,1.0,2,2,2,2,1,3,0,41326,0,3,3,6,5,3,9,110,0
1,2,2.0,2.0,1,2,2,2,1,1,0,41326,0,5,2,6,5,2,83,51,0
2,12,2.0,2.0,2,2,2,1,1,2,0,41401,0,1,4,6,5,1,110,74,1
1,1,3.0,0.0,1,2,2,2,1,6,0,41326,0,4,4,6,4,2,51,51,0
1,1,1.0,2.0,2,2,2,3,1,1,0,41326,0,5,3,5,1,3,51,51,0
2,9,1.0,3.0,3,1,1,1,1,1,0,41326,0,3,0,6,7,3,9,74,0
1,24,1.0,2.0,3,1,1,1,1,2,200,41401,0,1,4,6,5,3,83,11,1
2,60,2.0,3.0,3,1,1,1,1,1,0,41361,0,2,4,5,1,7,9,45,5
2,3,3.0,2.0,2,2,1,2,1,2,100,41326,0,2,3,6,5,4,47,32,0
2,30,2.0,2.0,1,1,1,1,1,1,10,41401,0,4,2,5,4,2,117,110,1
2,3,2.0,2.0,1,2,2,2,1,1,50,41326,0,2,4,6,4,7,119,109,0
1,1,3.0,3.0,2,2,2,2,1,3,0,41326,0,3,2,6,5,3,51,77,0
2,2,3.0,1.0,1,1,1,2,1,2,0,41326,0,5,1,5,4,1,55,55,0
2,6,2.0,1.0,2,2,2,2,1,1,0,41401,0,3,1,6,5,8,9,93,1
1,1,1.0,0.0,2,1,1,2,1,1,0,41326,0,1,1,6,5,2,51,51,0
1,2,2.0,2.0,2,2,2,2,1,1,0,41326,0,4,4,6,8,3,66,66,0
1,2,3.0,1.0,1,3,3,3,2,7,0,41401,0,12,4,6,5,3,51,51,1
2,48,1.0,3.0,1,1,1,1,1,2,0,41401,0,1,4,6,5,3,110,110,1
2,12,2.0,2.0,1,2,2,2,1,1,0,41326,0,1,2,6,5,8,93,70,0
1,22,1.0,2.0,1,1,1,2,1,1,0,41326,0,4,2,6,7,3,25,106,0
1,2,2.0,2.0,1,2,2,2,1,1,0,41326,0,1,2,6,5,1,51,68,0
1,36,1.0,1.0,1,3,3,3,1,1,0,41401,0,5,1,6,1,7,46,51,1
1,96,1.0,2.0,1,1,1,1,1,1,0,41401,0,2,3,5,4,8,54,77,1
1,5,2.0,2.0,1,1,1,2,1,1,0,41326,1,4,3,4,1,3,82,51,0
1,2,1.0,0.0,1,1,1,3,1,2,1,41326,0,2,2,5,1,2,51,51,0
1,31,2.0,2.0,2,1,1,1,1,1,0,41326,0,2,4,6,5,1,106,83,0
2,0,1.0,2.0,1,2,2,2,1,1,0,41401,0,10,1,6,7,3,110,55,1
1,24,3.0,2.0,2,1,1,1,1,4,0,41401,0,4,4,6,5,1,66,66,1
1,4,1.0,2.0,2,1,1,2,1,1,0,41326,0,2,2,6,5,3,51,51,0
2,15,2.0,1.0,1,1,1,1,1,1,0,41326,0,1,4,6,5,3,66,66,0
2,24,3.0,2.0,2,2,2,3,1,20,100,41326,0,1,4,6,1,3,103,69,0
2,48,2.0,1.0,1,1,1,1,1,2,30,41326,0,6,4,5,7,3,66,66,0
1,2,3.0,2.0,1,2,2,2,1,5,0,41326,0,5,2,6,5,4,51,51,0
2,3,2.0,1.0,1,2,2,2,1,1,0,41401,0,2,3,6,8,3,93,110,1
2,1,1.0,2.0,1,2,1,2,1,1,0,41326,1,6,2,6,7,3,62,55,0
2,2,2.0,2.0,2,2,1,2,1,1,15,41401,0,3,1,5,8,7,110,117,1
2,2,2.0,2.0,3,2,2,2,1,1,0,41401,0,1,3,6,7,3,13,45,1
2,6,3.0,2.0,1,1,1,3,1,3,150,41401,0,4,4,6,5,1,78,110,1
2,1,2.0,2.0,1,3,3,2,1,3,0,41401,0,3,1,6,7,3,119,69,1
2,2,3.0,3.0,2,2,1,3,1,5,30,41326,0,5,3,1,7,3,74,110,0
1,1,1.0,1.0,1,2,2,2,1,3,0,41326,0,5,4,6,5,3,51,51,0
2,5,1.0,2.0,2,1,1,2,1,2,0,41326,0,8,2,6,7,3,110,110,0
2,3,2.0,2.0,1,1,1,2,1,2,0,41326,0,3,1,6,8,3,110,110,0
1,1,1.0,1.0,1,2,2,3,1,1,0,41326,0,4,3,6,5,4,51,51,0
1,10,2.0,2.0,2,1,1,1,1,1,1,41401,0,4,4,8,1,2,25,114,1
2,60,2.0,2.0,2,1,1,1,1,2,0,41327,0,2,3,6,7,3,49,110,2
2,2,3.0,2.0,2,2,2,2,1,5,0,41326,0,10,2,6,7,3,110,110,0
1,3,3.0,0.0,2,2,2,2,1,7,0,41401,0,5,3,6,5,2,51,51,1
2,2,2.0,2.0,1,2,2,2,1,3,0,41326,0,2,1,6,5,2,110,55,0
2,2,2.0,2.0,3,2,1,2,1,1,550,41326,0,5,2,6,8,3,9,45,0
2,8,3.0,2.0,2,2,2,2,1,3,0,41326,0,0,4,6,8,3,74,74,0
1,3,2.0,2.0,2,1,1,2,1,4,0,41330,0,4,1,6,5,3,51,51,4
1,2,3.0,2.0,1,1,1,2,1,4,0,41326,0,5,2,5,4,3,51,84,0
1,2,1.0,1.0,1,1,3,2,1,1,0,41401,0,5,1,6,5,3,84,87,1
2,3,2.0,0.0,1,1,1,2,1,1,0,41326,2,9,3,8,1,2,66,66,0
2,84,2.0,2.0,2,3,3,1,1,1,50,41326,0,3,2,6,8,3,9,74,0
2,1,3.0,1.0,1,2,2,2,1,3,0,41401,0,2,2,5,8,7,74,74,1
2,3,2.0,1.0,1,2,2,2,1,1,0,41401,0,4,4,6,8,3,110,78,1
1,2,1.0,0.0,2,1,1,2,1,1,0,41326,0,5,1,6,5,2,51,51,0
2,3,2.0,2.0,1,2,2,2,1,1,0,41326,0,6,2,6,5,3,110,55,0
1,2,3.0,2.0,2,3,3,3,1,5,0,41326,0,18,2,6,5,3,51,51,0
2,2,1.0,2.0,1,2,2,2,1,1,0,41326,0,3,2,6,8,7,13,13,0
2,1,2.0,1.0,2,2,1,2,1,1,50,41326,0,7,3,5,8,3,66,66,0
1,17,3.0,2.0,1,3,3,1,1,2,0,41327,0,2,4,6,8,3,51,51,2
1,24,1.0,2.0,2,3,3,2,1,1,0,41326,0,0,4,5,4,3,90,51,0
1,36,1.0,3.0,1,1,1,1,1,1,0,41326,0,10,3,6,5,3,76,51,0
2,2,3.0,0.0,1,2,2,2,1,5,0,41326,0,3,4,6,5,2,110,110,0
2,18,2.0,2.0,1,2,1,1,1,1,0,41335,0,3,3,4,7,3,94,78,9
1,1,3.0,2.0,2,2,2,2,1,9,0,41332,0,3,4,6,5,4,51,51,7
2,1,2.0,2.0,2,2,2,2,1,2,0,41401,0,7,4,6,5,7,74,74,1
2,2,3.0,2.0,2,2,2,2,1,4,0,41326,0,1,1,6,5,2,66,78,0
1,4,3.0,2.0,1,1,1,2,1,2,0,41326,0,5,3,8,1,3,83,51,0
1,72,2.0,2.0,3,1,1,1,1,1,0,41326,6,24,4,6,5,2,51,22,0
2,4,2.0,0.0,3,2,1,2,1,1,250,41326,0,2,4,6,4,2,66,66,0
1,60,2.0,1.0,2,3,1,3,2,1,100,41332,0,3,4,6,5,7,66,66,7
2,72,2.0,2.0,2,3,3,3,1,1,0,41326,0,5,2,6,5,7,45,74,0
1,1,3.0,2.0,1,2,2,2,1,3,0,41326,0,7,2,6,5,7,51,51,0
1,7,1.0,2.0,1,1,1,3,1,1,0,41336,0,0,4,6,5,8,51,51,3
1,3,1.0,3.0,1,2,1,2,1,1,0,41326,0,19,2,6,4,3,81,51,0
1,2,3.0,2.0,2,2,2,2,1,6,0,41336,0,1,1,6,5,3,51,51,3
1,6,2.0,1.0,1,1,1,3,1,1,600,41326,0,4,4,6,5,3,90,67,0
2,2,3.0,1.0,3,2,2,2,1,4,300,41326,0,5,4,6,8,3,9,45,0
2,3,3.0,2.0,1,2,2,2,1,7,0,41326,0,3,2,6,8,3,23,110,0
2,2,2.0,2.0,1,2,1,2,1,1,0,41401,0,7,2,6,7,2,110,110,1
2,2,2.0,1.0,1,2,2,2,1,1,0,41336,0,2,0,6,7,3,110,62,3
2,3,2.0,1.0,1,2,2,2,1,3,0,41401,0,6,3,5,7,2,110,110,1
1,9,2.0,0.0,2,1,1,1,1,1,0,41401,0,2,4,6,5,2,83,51,1
1,2,3.0,2.0,2,2,1,1,1,6,0,41324,0,11,4,6,5,3,51,51,8
1,24,2.0,2.0,1,3,3,3,2,1,0,41326,0,1,1,6,4,3,104,51,0
1,2,3.0,2.0,1,2,2,2,1,4,0,41326,0,4,1,6,5,3,51,51,0
1,12,1.0,2.0,1,3,3,1,1,2,0,41326,0,20,3,5,1,3,51,51,0
1,2,3.0,2.0,1,1,1,2,1,2,200,41326,0,2,3,6,5,3,51,59,0
1,3,2.0,2.0,1,3,1,2,1,1,0,41401,0,3,1,1,7,2,25,90,1
1,1,3.0,2.0,2,1,1,2,1,5,0,41326,0,3,2,5,8,1,51,51,0
1,5,2.0,2.0,1,1,1,2,1,1,0,41326,0,2,2,6,5,3,51,87,0
2,8,3.0,2.0,2,2,2,3,1,7,0,41401,0,2,4,5,1,3,74,9,1
2,3,2.0,3.0,1,2,2,2,1,3,0,41326,0,2,3,6,4,3,119,47,0
2,15,3.0,2.0,1,1,1,2,1,3,0,41401,0,2,2,6,7,3,66,66,1
2,1,2.0,0.0,2,2,2,2,1,1,100,41336,0,2,2,6,5,2,45,110,3
1,6,2.0,2.0,2,1,1,2,1,2,1,41326,0,7,4,6,5,3,66,66,0
1,36,1.0,2.0,3,1,1,1,1,2,250,41401,0,2,4,6,5,3,51,51,1
1,3,3.0,2.0,1,3,3,3,1,2,0,41326,0,5,2,4,1,3,51,51,0
1,2,2.0,0.0,2,1,1,1,1,1,10,41326,0,2,2,6,5,2,51,106,0
2,11,2.0,2.0,2,3,3,2,1,1,250,41401,0,3,4,6,7,3,119,74,1
2,12,2.0,2.0,1,3,3,3,1,5,0,41325,0,4,4,6,8,3,66,66,6
1,12,1.0,3.0,2,2,2,1,1,1,150,41326,0,3,2,5,8,1,51,84,0
1,2,2.0,2.0,2,1,1,2,1,2,0,41326,0,22,3,6,5,3,51,83,0
1,1,1.0,1.0,2,2,2,2,1,1,0,41326,0,6,2,6,1,3,66,66,0
2,24,3.0,3.0,1,2,2,2,1,5,0,41326,0,5,4,6,5,3,110,110,0
1,1,2.0,2.0,1,2,2,2,1,2,0,41336,0,2,1,6,5,3,51,51,3
1,3,2.0,2.0,1,3,3,3,1,1,200,41326,0,0,4,4,1,2,84,48,0
2,2,1.0,2.0,1,2,1,2,1,1,0,41401,0,4,1,6,7,3,55,86,1
2,24,2.0,2.0,2,3,3,2,1,1,0,41401,0,2,3,6,5,7,9,74,1
1,2,2.0,2.0,1,1,1,2,1,1,0,41326,0,16,2,6,5,1,51,114,0
2,1,2.0,2.0,2,2,2,2,1,1,0,41326,0,2,1,6,5,3,55,110,0
1,3,2.0,0.0,2,2,2,2,1,1,0,41327,0,7,3,5,1,2,51,51,2
2,3,2.0,2.0,3,2,2,2,1,1,0,41342,0,3,0,6,7,3,66,66,10
1,1,3.0,2.0,2,2,2,2,1,3,0,41401,0,0,4,6,5,3,51,51,1
2,8,1.0,2.0,2,1,1,3,1,1,100,41336,0,5,4,6,7,3,58,58,3
1,1,2.0,1.0,1,2,1,3,1,2,0,41326,0,2,4,6,5,1,51,51,0
2,4,3.0,2.0,2,1,1,1,1,2,50,41326,0,4,3,6,7,3,110,74,0
1,10,3.0,3.0,3,1,1,1,1,3,0,41326,0,4,3,6,4,3,66,66,0
2,1,3.0,1.0,1,2,2,2,1,2,0,41336,0,15,2,6,8,3,110,110,3
2,3,1.0,2.0,1,2,1,2,1,1,30,41326,0,1,4,8,7,3,110,110,0
1,3,2.0,2.0,1,3,1,2,1,1,0,41326,0,2,0,4,1,3,84,114,0
1,3,1.0,2.0,2,2,1,2,1,1,0,41326,0,5,1,6,5,3,75,51,0
1,1,2.0,2.0,1,2,2,2,1,1,0,41326,0,1,4,6,8,3,51,51,0
1,2,2.0,3.0,2,1,1,2,1,1,0,41326,0,6,1,5,1,3,83,51,0
2,2,2.0,1.0,2,1,1,2,1,1,0,41326,0,4,1,6,4,3,110,3,0
2,5,2.0,2.0,1,2,2,2,1,2,0,41326,0,3,3,6,7,3,66,66,0
2,3,2.0,2.0,1,2,2,2,1,1,0,41326,0,3,1,6,4,7,62,119,0
1,1,3.0,2.0,1,2,1,2,1,4,0,41401,5,5,1,6,1,3,72,83,1
2,1,1.0,3.0,1,2,2,2,1,1,0,41326,0,4,3,5,4,3,45,110,0
2,4,2.0,2.0,1,1,1,2,1,1,100,41326,0,5,3,6,7,2,110,55,0
1,3,1.0,2.0,2,1,1,1,1,1,0,41330,0,4,3,5,1,3,51,84,4
1,1,3.0,2.0,2,3,3,3,1,6,0,41401,0,7,2,6,5,3,66,66,1
1,2,2.0,2.0,2,1,1,2,1,1,0,41326,0,6,1,6,5,3,51,83,0
2,2,2.0,2.0,2,2,2,2,1,1,20,41326,0,4,1,5,1,3,110,45,0
2,6,2.0,1.0,2,1,1,2,1,1,0,41326,0,2,1,5,1,3,78,74,0
1,1,2.0,2.0,2,1,1,2,1,1,0,41326,0,1,3,6,5,3,51,51,0
1,4,1.0,0.0,1,1,1,1,1,1,0,41326,0,5,4,6,5,2,66,51,0
2,1,2.0,2.0,2,2,1,2,1,1,40,41326,0,7,3,4,1,3,74,13,0
2,0,2.0,1.0,1,2,2,2,1,6,0,41401,0,0,4,6,5,3,110,110,1
2,1,1.0,0.0,1,2,1,2,1,1,30,41326,0,6,2,6,7,2,110,55,0
2,8,2.0,0.0,1,2,2,2,1,1,10,41326,0,11,3,6,5,2,110,58,0
1,3,1.0,2.0,2,2,2,3,1,1,0,41326,0,3,4,5,1,3,120,51,0
2,14,3.0,0.0,2,2,2,2,1,3,0,41326,0,3,4,4,8,2,74,55,0
2,2,2.0,0.0,1,2,1,2,1,1,0,41326,0,1,2,6,4,2,62,62,0
1,1,1.0,2.0,2,2,1,2,1,2,0,41326,0,5,1,6,5,3,65,6,0
2,2,3.0,1.0,1,2,1,2,1,5,20,41401,0,5,4,6,4,3,66,66,1
1,4,1.0,2.0,1,2,2,2,1,1,0,41326,0,4,4,6,5,3,88,81,0
1,2,3.0,2.0,2,1,1,2,1,4,100,41326,0,14,3,6,5,3,51,51,0
1,2,1.0,1.0,1,2,2,2,1,4,0,41327,0,3,2,6,1,3,51,6,2
2,1,3.0,2.0,1,1,1,2,1,2,0,41401,0,1,2,6,1,3,66,66,1
2,5,1.0,2.0,1,2,1,2,1,1,0,41401,0,1,2,6,7,3,107,110,1
1,12,2.0,2.0,1,1,1,1,1,1,100,41332,0,2,2,6,5,3,51,51,7
1,1,3.0,2.0,2,2,1,2,1,2,0,41326,0,13,2,6,5,3,68,51,0
2,2,3.0,1.0,1,2,2,2,1,4,0,41326,0,2,3,6,8,3,55,26,0
1,2,2.0,3.0,1,2,2,2,1,6,0,41327,0,5,3,6,8,3,51,51,2
2,4,2.0,2.0,1,3,3,3,1,1,0,41401,0,3,4,6,7,2,110,110,1
1,2,2.0,2.0,1,3,3,2,1,5,0,41326,0,0,0,6,5,3,51,51,0
2,12,3.0,2.0,1,2,1,1,1,2,0,41336,0,5,4,5,4,3,110,74,3
2,4,2.0,2.0,1,2,1,2,1,1,0,41401,0,22,3,6,5,3,110,32,1
2,5,2.0,2.0,3,2,1,2,1,1,80,41326,0,7,1,5,4,2,110,9,0
2,3,3.0,2.0,2,2,1,2,1,3,0,41325,0,11,2,4,1,7,78,55,6
1,6,2.0,2.0,2,1,1,2,1,1,0,41326,0,11,1,4,1,3,51,106,0
2,4,2.0,2.0,2,1,1,1,1,2,100,41326,0,2,4,6,5,3,110,55,0
2,1,3.0,2.0,1,2,1,3,1,5,0,41326,0,1,4,6,7,3,110,110,0
2,1,3.0,1.0,2,2,1,2,1,2,30,41326,0,3,1,6,4,3,55,74,0
2,5,2.0,2.0,2,2,2,2,1,3,20,41326,0,4,2,6,7,3,74,74,0
1,2,1.0,2.0,1,2,1,2,1,1,0,41326,0,4,2,6,5,3,18,51,0
2,2,2.0,2.0,2,2,1,2,1,1,0,41401,0,4,2,6,5,8,62,93,1
2,3,3.0,1.0,2,2,2,2,1,3,0,41332,0,5,1,6,5,1,66,66,7
1,2,1.0,2.0,2,3,3,2,1,1,0,41326,0,4,0,5,1,3,51,51,0
1,5,2.0,2.0,2,2,2,2,1,1,0,41401,0,2,2,8,1,3,51,51,1
2,18,2.0,2.0,3,1,1,1,1,1,30,41326,0,5,3,6,8,3,9,45,0
1,36,2.0,1.0,3,1,1,2,1,1,0,41336,0,2,1,6,7,3,46,83,3
2,9,3.0,2.0,2,2,3,3,1,2,0,41330,0,3,4,6,8,3,74,74,4
1,1,3.0,1.0,1,2,2,2,1,6,0,41326,0,5,2,6,5,3,51,51,0
2,1,1.0,0.0,1,1,1,2,1,1,0,41326,0,4,3,5,1,2,78,55,0
2,12,2.0,2.0,1,2,2,1,1,1,0,41326,0,3,4,8,7,3,110,110,0
2,2,3.0,1.0,2,2,2,2,1,3,0,41401,0,6,1,6,7,3,74,74,1
2,6,3.0,1.0,1,3,3,3,1,5,0,41327,0,2,4,6,8,3,110,74,2
2,2,3.0,1.0,1,1,1,2,1,3,0,41401,0,14,3,4,1,7,78,110,1
2,84,2.0,1.0,1,1,1,1,1,1,0,41326,0,1,4,8,7,3,74,110,0
1,29,2.0,1.0,2,1,1,1,1,1,300,41326,0,5,2,6,7,3,66,66,0
2,15,3.0,2.0,1,3,3,3,1,2,0,41326,0,4,2,8,1,3,110,110,0
1,3,1.0,2.0,2,1,1,2,1,1,0,41401,0,2,2,6,5,3,51,51,1
2,120,2.0,1.0,1,1,1,1,1,1,0,41401,0,4,4,5,7,3,78,69,1
2,12,2.0,1.0,2,1,1,2,1,1,0,41326,0,1,1,5,8,1,93,93,0
1,24,2.0,2.0,2,3,1,3,1,1,0,41336,0,1,3,6,5,3,51,51,3
2,2,3.0,1.0,1,1,1,2,1,2,0,41332,0,4,4,6,5,3,110,110,7
2,1,3.0,1.0,2,2,1,2,1,3,0,41326,0,3,3,6,5,3,55,110,0
2,2,2.0,2.0,1,2,2,2,1,4,0,41326,0,3,1,6,5,2,110,110,0
1,1,2.0,0.0,2,2,2,2,1,1,0,41326,0,1,1,6,5,2,120,6,0
1,18,2.0,2.0,1,1,1,1,1,1,0,41326,0,10,4,6,4,1,51,21,0
1,72,1.0,0.0,3,1,1,1,1,1,200,41326,0,9,2,6,7,2,46,91,0
1,36,1.0,3.0,2,3,3,3,1,1,0,41326,0,1,1,6,4,3,106,51,0
2,1,2.0,2.0,3,2,2,2,1,2,0,41326,0,5,1,6,7,3,110,45,0
2,24,2.0,0.0,1,1,1,1,1,1,50,41401,0,13,3,4,7,2,32,110,1
1,12,2.0,2.0,2,3,3,3,1,1,0,41326,0,4,1,5,4,8,51,51,0
1,3,2.0,2.0,2,1,1,2,1,1,0,41326,0,6,3,6,5,3,51,114,0
2,2,2.0,3.0,3,2,1,3,1,1,0,41326,0,3,1,6,5,8,45,45,0
1,1,3.0,2.0,2,2,2,2,1,10,0,41401,0,21,3,6,5,3,51,51,1
2,212,3.0,1.0,1,1,1,3,1,3,0,41401,0,3,3,6,1,3,110,110,1
1,6,3.0,2.0,2,1,1,2,1,2,0,41326,0,4,4,6,4,1,56,114,0
1,19,3.0,2.0,1,3,3,3,1,3,0,41401,0,16,4,6,5,3,51,59,1
1,2,1.0,2.0,1,1,1,2,1,1,0,41326,1,3,2,6,5,3,51,51,0
2,2,1.0,1.0,2,2,2,2,1,1,0,41326,0,3,2,4,8,3,110,9,0
2,1,2.0,2.0,1,2,2,2,1,5,0,41401,0,6,2,6,7,2,9,74,1
2,2,3.0,1.0,1,3,3,3,1,3,0,41332,0,5,4,6,7,3,26,13,7
1,2,3.0,2.0,1,2,1,2,1,2,80,41336,0,4,2,6,5,7,51,51,3
2,24,2.0,0.0,2,1,1,1,1,1,0,41326,0,2,2,5,1,2,78,74,0
1,36,2.0,2.0,3,3,3,3,1,1,0,41326,0,3,4,6,5,3,46,90,0
2,3,3.0,2.0,3,2,1,2,1,3,100,41326,0,2,1,6,5,3,47,32,0
2,5,2.0,2.0,1,2,2,2,1,1,0,41401,0,5,2,6,8,3,9,62,1
1,60,2.0,2.0,2,1,1,1,1,1,0,41326,0,5,3,5,8,2,114,51,0
2,2,2.0,2.0,2,2,1,2,1,1,180,41401,0,1,2,6,7,3,70,9,1
1,12,2.0,2.0,2,2,2,2,1,1,0,41326,0,1,4,5,4,1,83,51,0
2,2,2.0,2.0,1,3,3,3,1,1,0,41326,0,3,3,5,4,3,110,74,0
2,11,2.0,2.0,1,1,1,1,1,1,0,41326,0,5,4,6,8,3,66,66,0
2,1,2.0,2.0,3,3,3,3,1,1,0,41326,0,3,1,8,1,3,13,24,0
1,12,2.0,2.0,1,1,1,1,1,1,0,41326,0,8,4,6,5,3,72,51,0
1,2,1.0,2.0,1,2,2,2,1,1,0,41326,0,1,4,6,5,3,51,51,0
2,3,2.0,2.0,1,2,1,2,1,1,0,41326,0,5,4,6,8,3,66,66,0
2,2,1.0,2.0,2,1,1,1,1,1,0,41326,0,1,4,6,7,3,110,55,0
1,1,1.0,2.0,1,1,1,2,1,1,100,41326,0,4,2,6,5,3,66,66,0
1,3,3.0,2.0,1,1,1,2,1,5,0,41326,0,5,4,6,5,3,51,51,0
1,2,2.0,2.0,2,1,1,2,1,1,150,41401,0,6,1,6,5,1,43,51,1
2,8,3.0,2.0,1,2,1,2,1,3,0,41327,0,2,1,5,8,3,110,74,2
2,2,3.0,1.0,1,2,2,2,1,2,0,41327,1,8,2,5,4,7,110,55,2
1,10,1.0,1.0,1,1,1,2,1,1,500,41326,0,4,2,6,5,3,87,71,0
2,1,3.0,1.0,2,2,2,2,1,5,0,41401,0,1,1,6,7,3,74,74,1
2,14,2.0,2.0,3,2,2,2,1,1,0,41401,0,2,3,4,1,3,45,74,1
1,24,1.0,2.0,1,3,3,3,1,1,0,41326,0,1,1,6,5,1,101,51,0
2,15,1.0,3.0,2,1,1,1,1,1,0,41326,0,1,1,5,1,3,66,66,0
2,2,1.0,2.0,2,2,1,2,1,1,50,41326,0,8,1,6,5,7,45,74,0
2,4,3.0,1.0,1,1,1,2,1,4,0,41401,0,4,4,5,8,7,110,110,1
2,2,3.0,1.0,3,2,3,2,1,3,0,41326,0,3,1,6,5,7,62,45,0
2,0,3.0,2.0,1,2,2,2,1,5,0,41326,0,14,3,6,5,3,110,110,0
2,1,3.0,1.0,1,2,2,2,1,2,0,41326,0,6,2,6,7,3,66,66,0
2,3,2.0,2.0,1,2,1,2,1,4,0,41326,0,5,2,6,8,3,110,74,0
2,24,3.0,1.0,2,2,1,2,1,4,0,41326,0,3,3,6,7,3,94,78,0
2,3,2.0,2.0,2,2,1,2,1,2,0,41327,0,4,3,6,5,8,74,110,2
1,2,2.0,2.0,1,2,2,2,1,3,0,41326,0,5,4,6,5,3,51,51,0
1,1,3.0,1.0,1,2,2,2,1,5,0,41401,0,3,2,6,5,4,51,51,1
1,5,3.0,1.0,1,2,2,2,1,4,0,41326,0,5,4,5,1,3,51,51,0
2,3,2.0,2.0,2,2,1,2,1,1,0,41326,0,0,4,6,5,1,55,74,0
2,3,2.0,2.0,1,2,1,2,1,1,50,41327,0,2,4,5,1,3,4,78,2
2,3,3.0,1.0,1,2,2,2,1,3,0,41401,0,1,3,6,4,3,69,69,1
